$IS001,2010,01,02,21,40,14, 134.85, 0.0095,0.2962,1.5810,1.5679,1.5676,2.4435,2.4448,2.4438, 2546,1948,1936,1943,1943,1865,1574,3574, 1,1,  3.8, -2.7,162.1, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,150509, 31.7*00
$IS001,2010,01,02,21,40,16, 134.85, 0.0096,0.2956,1.5810,1.5679,1.5676,2.4433,2.4447,2.4438, 2544,1946,1938,1946,1941,1865,1574,3570, 1,1,  3.8, -2.7,160.8, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,150735, 31.7*00
$IS001,2010,01,02,21,40,17, 134.85, 0.0096,0.2948,1.5809,1.5677,1.5674,2.4433,2.4447,2.4436, 2545,1948,1937,1939,1944,1865,1574,3574, 1,1,  3.8, -2.7,161.6, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,150563, 31.7*00
$IS001,2010,01,02,21,40,19, 134.85, 0.0096,0.2956,1.5809,1.5677,1.5674,2.4432,2.4447,2.4436, 2545,1938,1943,1951,1944,1865,1574,3568, 1,1,  3.8, -2.7,161.5, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,150493, 31.7*00
$IS001,2010,01,02,21,40,21, 134.85, 0.0096,0.2953,1.5809,1.5677,1.5674,2.4432,2.4447,2.4436, 2546,1948,1936,1944,1944,1865,1574,3569, 1,1,  3.8, -2.7,160.8, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,150576, 31.7*00
$IS001,2010,01,02,21,40,22, 134.85, 0.0096,0.2951,1.5809,1.5677,1.5674,2.4432,2.4445,2.4436, 2545,1947,1936,1943,1944,1865,1574,3574, 1,1,  3.8, -2.7,162.1, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,150764, 31.7*00
$IS001,2010,01,02,21,42,21, 325.02, 0.0095,0.4450,1.5775,1.5645,1.5641,2.4387,2.4403,2.4392, 2544,1932,1931,1947,1938,1861,1569,3573, 1,1,  3.8, -2.7,161.4, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,224905, 31.8*00
$IS001,2010,01,02,21,42,23, 325.02, 0.0095,0.4443,1.5775,1.5645,1.5641,2.4387,2.4403,2.4392, 2545,1943,1930,1938,1937,1861,1569,3568, 1,1,  3.8, -2.7,160.8, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,224828, 31.8*00
$IS001,2010,01,02,21,42,25, 325.02, 0.0095,0.4459,1.5775,1.5644,1.5641,2.4387,2.4401,2.4392, 2544,1940,1932,1941,1937,1861,1569,3573, 1,1,  3.8, -2.7,162.1, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,225017, 31.8*00
$IS001,2010,01,02,21,42,26, 325.02, 0.0095,0.4456,1.5773,1.5644,1.5641,2.4387,2.4401,2.4392, 2545,1941,1930,1936,1938,1861,1569,3569, 1,1,  3.8, -2.7,160.8, 26.5,-999.000000,-999.00000,-999.0,-999.0,-999.0,225243, 31.8*00
