20100609T170834Z,$ISAR5,20100609T170356Z,280.05,0.8753,0.6207,2.2375,2.2365,2.2359,2.8253,2.8239,2.8239,2492,2313,2305,2324,2251,2319,2295,3592,1,0,  1.8, -4.4, 67.8,155000.0,50.811100,-1.09322, 0.0, 0.0, 5.5,292.1,296.6,552,03/4801
20100609T170836Z,$ISAR5,20100609T170358Z,280.05,0.8751,0.6215,2.2370,2.2359,2.2355,2.8253,2.8237,2.8237,2493,2313,2305,2324,2250,2319,2295,3592,1,0,  1.7, -4.2, 68.1,155000.0,50.811085,-1.09322, 0.0, 0.0, 5.5,292.1,296.6,552,03/4801
20100609T170839Z,$ISAR5,20100609T170400Z,280.05,0.8751,0.6207,2.2364,2.2355,2.2352,2.8253,2.8237,2.8237,2494,2308,2305,2320,2251,2319,2296,3592,1,0,  1.7, -4.0, 68.1,155000.0,50.811066,-1.09323, 0.0, 0.0, 5.5,292.1,296.6,552,03/4801
20100609T170842Z,$ISAR5,20100609T170404Z,280.05,0.8751,0.6207,2.2358,2.2347,2.2344,2.8253,2.8236,2.8237,2495,2304,2305,2320,2251,2319,2297,3592,1,0,  1.7, -4.0, 68.2,155000.0,50.811016,-1.09325, 0.0, 0.0, 5.5,292.3,296.6,552,03/4801
20100609T170844Z,$ISAR5,20100609T170406Z,280.05,0.8751,0.6215,2.2353,2.2344,2.2340,2.8251,2.8236,2.8237,2494,2312,2304,2324,2251,2319,2297,3591,1,0,  1.7, -4.2, 68.1,155000.0,50.811016,-1.09325, 0.0, 0.0, 5.5,292.1,296.6,552,03/4801
20100609T170846Z,$ISAR5,20100609T170408Z,280.05,0.8751,0.6215,2.2349,2.2338,2.2335,2.8251,2.8236,2.8237,2492,2314,2303,2326,2251,2319,2297,3591,1,0,  1.8, -4.2, 68.1,155000.0,50.811016,-1.09325, 0.0, 0.0, 5.5,292.2,296.6,552,03/4801
20100609T170849Z,$ISAR5,20100609T170410Z,280.05,0.8751,0.6197,2.2344,2.2335,2.2330,2.8251,2.8236,2.8236,2493,2314,2303,2325,2250,2319,2298,3593,1,0,  1.8, -4.4, 68.0,155000.0,50.811001,-1.09327, 0.0, 0.0, 5.5,292.2,296.6,552,03/4801
20100609T170852Z,$ISAR5,20100609T170414Z,280.05,0.8751,0.6207,2.2336,2.2327,2.2323,2.8249,2.8236,2.8236,2494,2314,2303,2325,2250,2319,2298,3592,1,0,  1.7, -4.4, 68.0,155000.0,50.811001,-1.09327, 0.0, 0.0, 5.5,292.2,296.6,552,03/4801
20100609T170854Z,$ISAR5,20100609T170416Z,280.05,0.8751,0.6207,2.2332,2.2323,2.2318,2.8251,2.8234,2.8237,2494,2308,2305,2320,2250,2319,2298,3592,1,0,  1.7, -4.4, 68.0,155000.0,50.811001,-1.09327, 0.0, 0.0, 5.5,292.2,296.6,552,03/4801
20100609T170856Z,$ISAR5,20100609T170418Z,280.05,0.8751,0.6207,2.2329,2.2320,2.2312,2.8249,2.8236,2.8236,2495,2303,2305,2316,2252,2319,2299,3592,1,0,  1.8, -4.2, 67.9,155000.0,50.811001,-1.09327, 0.0, 0.0, 5.5,292.2,296.6,552,03/4801
